OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;longueur;largeur;hauteur;Volume;Volume_Formule;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;hauteur_2;longueur_2;largeur_2;Equipe;Nb_boites;hauteur_3;longueur_3;largeur_3;hauteur_4;longueur_4;largeur_4;hauteur_5;longueur_5;largeur_5;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
58;1;57;;;;;2023/08/01 14:49:16.537;"{""Pl""}";1;M;10.5;4;3;126;#VALEUR!;2;40;40;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;8806;cp;2016;5;5000
59;1;58;;;;;2023/08/01 14:55:59.833;"{""Pl""}";5;M;18;3;1;54;54;1;80;10;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;8806;cp;2016;5;5500
60;1;59;;;;;2023/08/01 15:02:09.430;"{""Ch""}";5;M;18;4;1;72;72;2;60;30;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;8806;cp;2016;5;5500
61;1;60;;;;;2023/08/01 15:05:21.421;"{""Ch""}";3;M;12;0.5;0.5;3;#VALEUR!;1;80;10;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;8806;cp;2016;5;5500
62;1;61;;;;;2023/08/01 15:07:41.314;"{""Pl""}";1;M;6;1;1;6;6;1;80;10;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;8806;cp;2016;5;6000
63;1;62;;;;;2023/08/01 15:10:39.413;"{""Ch""}";10;M;12;14;3;504;504;1;50;30;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;8806;cp;2016;5;6000
64;1;63;;;;;2023/08/01 15:20:02.188;"{""Ch""}";5;M;36;3;1;108;108;2;40;30;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;8806;cp;2016;5;6500
65;1;64;;;;;2023/08/01 15:23:11.694;"{""Ch""}";5;M;10;1;1;10;10;1;90;5;5;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;8806;cp;2016;5;6500
66;1;65;;;;;2023/08/01 15:31:41.818;"{""Pl""}";5;M;236;4;3;2832;2832;3;60;30;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;8806;cp;2016;5;6500
67;1;66;;;;;2023/08/01 15:48:17.539;"{""Pl""}";1;M;16.5;0.5;1;8.25;#VALEUR!;1;60;30;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;8806;cp;2016;5;6500
68;1;67;;;;;2023/08/02 09:54:06.402;"{""Pl""}";1;M;1.2;5.3;1.3;8.268;#VALEUR!;2;40;40;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;8806;cp;2016;5;7000
69;1;68;;;;;2023/08/02 09:56:30.180;"{""Pl""}";10;M;5.1;21.5;1;109.65;#VALEUR!;1;60;30;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;8806;cp;2016;5;7000
70;1;69;;;;;2023/08/02 10:04:32.041;"{""Pl""}";3;M;5.2;2.7;0.5;7.02;#VALEUR!;2;40;50;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;8806;cp;2016;5;7000
71;1;70;;;;;2023/08/02 10:06:13.628;"{""Pl""}";3;M;16.5;2;1;33;#VALEUR!;2;45;40;15;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;8806;cp;2016;5;7000
72;1;71;;;;;2023/08/02 10:08:43.004;"{""Pl""}";5;M;11.8;3.1;1;36.58;#VALEUR!;2;40;35;25;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;8806;cp;2016;5;7000
73;1;72;;;;;2023/08/02 10:15:38.330;"{""Pl""}";5;M;7.3;3.2;1.6;37.376;#VALEUR!;2;50;30;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;8806;cp;2016;5;7500
74;1;73;;;;;2023/08/02 10:18:24.718;"{""Pl""}";5;M;17.5;4;2;140;#VALEUR!;2;45;30;25;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;8806;cp;2016;5;7500
75;1;74;;;;;2023/08/02 10:23:02.478;"{""Pl""}";5;M;12;1;1;12;12;1;60;30;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;8806;cp;2016;5;7500
76;1;75;;;;;2023/08/02 10:30:08.908;"{""Pl""}";15;M;4;40;2;320;320;3;40;30;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;8806;cp;2016;5;7500
77;1;76;;;;;2023/08/02 10:33:20.257;"{""Pl""}";5;M;22;4;1.5;132;#VALEUR!;1;50;30;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;8806;cp;2016;5;7500
78;1;77;;;;;2023/08/02 10:49:35.297;"{""Pl""}";1;D;16;2;1;32;32;2;40;40;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;8806;cp;2016;5;8000
