OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;Volume;Volume_Formule;longueur;largeur;hauteur;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;hauteur_2;longueur_2;largeur_2;Equipe;Nb_boites;hauteur_3;longueur_3;largeur_3;hauteur_4;longueur_4;largeur_4;hauteur_5;longueur_5;largeur_5;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
62;1;61;;;;;2022/07/18 14:53:03.000;"{""Ch""}";3;D;3.2;#VALEUR!;3.2;2;0.5;2;80;20;;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;;;8806;cp;2016;5;24500
63;1;62;;;;;2022/07/18 14:55:09.000;"{""Ch""}";1;M;6.09;#VALEUR!;2.9;2.1;1;2;50;40;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;;;8806;cp;2016;5;24500
64;1;63;;;;;2022/07/18 14:57:18.000;"{""Ch""}";1;M;98.208;#VALEUR!;8.8;6.2;1.8;1;50;30;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;;;8806;cp;2016;5;24500
65;1;64;;;;;2022/07/18 15:03:08.000;"{""Ch""}";1;M;9.68;#VALEUR!;8.8;1;1.1;1;70;20;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;;;8806;cp;2016;5;24500
66;1;65;;;;;2022/07/18 15:04:43.000;"{""Ch""}";1;P;80.444;#VALEUR!;22.1;2.8;1.3;1;40;40;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;;;8806;cp;2016;5;24500
67;1;66;;;;;2022/07/18 15:10:03.000;"{""Bc""}";;M;4.715;#VALEUR!;4.1;2.3;0.5;1;30;50;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;8806;cp;2016;5;25000
68;1;67;;;;;2022/07/18 15:15:15.000;"{""Ch""}";1;P;60.676;#VALEUR!;19.7;2.2;1.4;1;60;30;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;8806;cp;2016;5;25000
69;1;68;;;;;2022/07/18 15:18:47.000;"{""Ch""}";1;M;220.32;#VALEUR!;20.4;4;2.7;3;60;30;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;8806;cp;2016;5;25000
70;1;69;;;;;2022/07/18 15:20:59.000;"{""Bc""}";10;M;61.32;#VALEUR!;14.6;2.8;1.5;1;40;40;20;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;8806;cp;2016;5;25000
71;1;70;;;;;2022/07/18 15:23:44.000;"{""Ch""}";1;P;10.85;#VALEUR!;21.7;1;0.5;1;60;20;20;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;8806;cp;2016;5;25000
72;1;71;;;;;2022/07/18 15:25:17.000;"{""Pl""}";1;P;55.944;#VALEUR!;14.8;2.1;1.8;2;65;20;15;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;8806;cp;2016;5;25000
73;1;72;;;;;2022/07/18 15:27:24.000;"{""Pl""}";;D;8.64;#VALEUR!;3.2;2.7;1;3;80;20;;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;8806;cp;2016;5;25000
74;1;73;;;;;2022/07/18 15:30:04.000;"{""Ch""}";1;M;6.048;#VALEUR!;10.8;0.8;0.7;1;75;15;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;8806;cp;2016;5;25000
75;1;74;;;;;2022/07/18 15:31:49.000;"{""Ch""}";1;M;4875;4875;65;25;3;3;60;35;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;8806;cp;2016;5;25000
76;1;75;;;;;2022/07/18 15:36:50.000;"{""Ch""}";1;M;31.05;#VALEUR!;20.7;1;1.5;1;80;15;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;8806;cp;2016;5;25000
77;1;76;;;;;2022/07/18 15:38:58.000;"{""Ch""}";1;D;249.424;#VALEUR!;13.1;5.6;3.4;1;90;10;;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;8806;cp;2016;5;25000
